zip_code,week_number,date_week_start,date_week_end,cases_weekly,cases_cumulative,tests_weekly,tests_cumulative,deaths_weekly,deaths_cumulative
60707,18,04/26/2020,05/02/2020,12.0,51.0,110,496,0,2
60623,10,03/01/2020,03/07/2020,,,3,3,0,0
60646,11,03/08/2020,03/14/2020,,,4,7,0,0
60609,17,04/19/2020,04/25/2020,209.0,524.0,508,1360,9,18
60621,17,04/19/2020,04/25/2020,63.0,266.0,218,762,5,15
60611,10,03/01/2020,03/07/2020,,,2,2,0,0
60649,18,04/26/2020,05/02/2020,80.0,494.0,360,1698,21,62
60632,17,04/19/2020,04/25/2020,366.0,799.0,744,1796,7,17
60656,12,03/15/2020,03/21/2020,,,24,28,0,0
60607,17,04/19/2020,04/25/2020,17.0,322.0,231,926,2,3
60633,11,03/08/2020,03/14/2020,,,0,0,0,0
60645,17,04/19/2020,04/25/2020,125.0,581.0,304,1485,11,28
60659,18,04/26/2020,05/02/2020,76.0,410.0,305,1240,2,21
60613,14,03/29/2020,04/04/2020,48.0,92.0,132,351,1,1
60638,11,03/08/2020,03/14/2020,,,1,2,0,0
60625,15,04/05/2020,04/11/2020,104.0,207.0,263,692,2,5
60605,16,04/12/2020,04/18/2020,26.0,85.0,102,437,0,0
60666,17,04/19/2020,04/25/2020,,,0,0,0,0
60620,11,03/08/2020,03/14/2020,,,12,15,0,0
60626,17,04/19/2020,04/25/2020,146.0,418.0,438,1272,9,26
60643,12,03/15/2020,03/21/2020,8.0,9.0,77,83,0,0
60612,10,03/01/2020,03/07/2020,,,1,1,0,0
60638,10,03/01/2020,03/07/2020,,,1,1,0,0
60608,11,03/08/2020,03/14/2020,,,9,11,0,0
60612,11,03/08/2020,03/14/2020,,,10,11,0,0
60639,14,03/29/2020,04/04/2020,77.0,119.0,213,429,2,3
60610,16,04/12/2020,04/18/2020,15.0,112.0,97,485,0,1
60622,11,03/08/2020,03/14/2020,5.0,5.0,11,13,0,0
60640,20,05/10/2020,05/16/2020,50.0,642.0,417,2680,8,69
60624,11,03/08/2020,03/14/2020,,,8,10,0,0
60649,11,03/08/2020,03/14/2020,,,2,3,0,0
60651,20,05/10/2020,05/16/2020,209.0,1238.0,681,3794,6,45
60629,14,03/29/2020,04/04/2020,87.0,139.0,213,449,6,6
60606,18,04/26/2020,05/02/2020,3.0,28.0,36,177,2,2
60618,18,04/26/2020,05/02/2020,138.0,602.0,610,2283,6,18
60628,20,05/10/2020,05/16/2020,71.0,850.0,535,3329,5,69
60626,16,04/12/2020,04/18/2020,118.0,272.0,292,834,10,17
60621,12,03/15/2020,03/21/2020,9.0,9.0,54,57,0,0
60643,11,03/08/2020,03/14/2020,,,5,6,0,0
60622,16,04/12/2020,04/18/2020,48.0,213.0,213,767,9,12
60605,15,04/05/2020,04/11/2020,12.0,59.0,83,335,0,0
60636,16,04/12/2020,04/18/2020,65.0,243.0,152,551,6,23
60610,17,04/19/2020,04/25/2020,16.0,128.0,145,630,3,4
60649,16,04/12/2020,04/18/2020,77.0,284.0,261,904,11,33
60641,20,05/10/2020,05/16/2020,160.0,1005.0,682,3588,4,34
60624,16,04/12/2020,04/18/2020,80.0,318.0,248,843,2,11
60652,11,03/08/2020,03/14/2020,,,5,5,0,0
60653,17,04/19/2020,04/25/2020,46.0,278.0,255,978,6,19
60646,10,03/01/2020,03/07/2020,,,3,3,0,0
60607,18,04/26/2020,05/02/2020,40.0,362.0,137,1063,0,3
60618,13,03/22/2020,03/28/2020,20.0,40.0,183,300,0,0
